request_id,date_submitted,neighborhood,category,service_type,priority,status,response_days,source,department,satisfaction_score,month,quarter,resolution_rate
RVA-10028,2024-11-09,Church Hill,Sanitation,Missed Trash Pickup,Medium,Resolved,8.64,Website,Transportation,2.8,2024-11,2024Q4,1
RVA-10029,2024-01-22,Highland Park,Sanitation,Bulk Pickup Request,Low,In Progress,7.9,Phone,Public Utilities,4.8,2024-01,2024Q1,0
RVA-10030,2024-09-09,Bon Air,Water & Utilities,Hydrant Issue,Medium,Resolved,1.23,Website,Code Enforcement,2.9,2024-09,2024Q3,1
RVA-10031,2025-07-14,Ginter Park,Sanitation,Bulk Pickup Request,Low,Resolved,7.82,Phone,Parks & Rec,1.3,2025-07,2025Q3,1
RVA-10032,2025-04-19,Highland Park,Parks & Public Spaces,Graffiti Removal,Low,Closed,4.64,Walk-in,Public Works,3.2,2025-04,2025Q2,1
RVA-10033,2024-02-28,East End,Sanitation,Illegal Dumping,Low,Resolved,11.96,Phone,Parks & Rec,1.4,2024-02,2024Q1,1
RVA-10034,2025-05-25,Museum District,Public Safety,Missing Sign,Medium,Resolved,3.23,Email,Police,1.4,2025-05,2025Q2,1
RVA-10035,2025-11-12,West End,Noise & Nuisance,Noise Complaint,Medium,Closed,9.04,Phone,Public Works,4.4,2025-11,2025Q4,1
RVA-10036,2025-04-20,West End,Parks & Public Spaces,Graffiti Removal,Emergency,Resolved,0.57,Website,Police,2.2,2025-04,2025Q2,1
RVA-10037,2025-11-30,Southside,Sanitation,Illegal Dumping,Low,Closed,11.54,Email,Code Enforcement,3.7,2025-11,2025Q4,1
RVA-10038,2024-07-08,Highland Park,Parks & Public Spaces,Graffiti Removal,Medium,Closed,1.22,Mobile App,Police,3.0,2024-07,2024Q3,1
RVA-10039,2025-11-17,Museum District,Public Safety,Hazardous Condition,High,Resolved,8.3,Website,Code Enforcement,1.9,2025-11,2025Q4,1
RVA-10040,2025-07-16,Carytown,Noise & Nuisance,Animal Control,Medium,Closed,9.22,Mobile App,Code Enforcement,3.1,2025-07,2025Q3,1
RVA-10041,2025-07-20,Northside,Sanitation,Bulk Pickup Request,Medium,Open,7.78,Walk-in,Code Enforcement,1.3,2025-07,2025Q3,0
RVA-10042,2024-08-31,Scott's Addition,Sanitation,Overflowing Bin,Medium,Open,2.0,Phone,Police,2.4,2024-08,2024Q3,0
RVA-10043,2025-05-19,Oregon Hill,Public Safety,Traffic Signal Issue,Low,Resolved,7.67,Email,Code Enforcement,3.1,2025-05,2025Q2,1
RVA-10044,2024-05-10,The Fan,Sanitation,Bulk Pickup Request,Medium,Resolved,0.74,Walk-in,Code Enforcement,1.9,2024-05,2024Q2,1
RVA-10045,2025-04-29,Oregon Hill,Water & Utilities,Sewer Problem,High,Resolved,1.55,Mobile App,Public Utilities,3.6,2025-04,2025Q2,1
RVA-10046,2025-10-08,Highland Park,Water & Utilities,Storm Drain Blocked,Low,Resolved,1.58,Mobile App,Transportation,1.2,2025-10,2025Q4,1
RVA-10047,2024-01-21,Short Pump,Noise & Nuisance,Noise Complaint,Low,In Progress,8.05,Website,Parks & Rec,2.9,2024-01,2024Q1,0
RVA-10048,2024-06-15,The Fan,Road & Sidewalk,Pothole Repair,High,In Progress,2.09,Phone,Code Enforcement,3.9,2024-06,2024Q2,0
RVA-10049,2024-09-30,Museum District,Sanitation,Overflowing Bin,High,Closed,0.99,Mobile App,Public Works,2.7,2024-09,2024Q3,1
RVA-10050,2025-01-22,Scott's Addition,Parks & Public Spaces,Graffiti Removal,Medium,Closed,3.45,Mobile App,Public Works,4.5,2025-01,2025Q1,1
RVA-10051,2025-08-23,Museum District,Noise & Nuisance,Noise Complaint,High,Closed,4.17,Phone,Public Utilities,3.5,2025-08,2025Q3,1
RVA-10052,2024-11-11,Jackson Ward,Parks & Public Spaces,Park Maintenance,Medium,Closed,0.57,Mobile App,Police,4.8,2024-11,2024Q4,1
RVA-10053,2024-01-14,Bon Air,Public Safety,Traffic Signal Issue,Low,Resolved,15.69,Walk-in,Police,2.1,2024-01,2024Q1,1
RVA-10054,2024-08-29,The Fan,Water & Utilities,Sewer Problem,Medium,Resolved,0.94,Walk-in,Police,4.8,2024-08,2024Q3,1
RVA-10055,2024-12-11,West End,Noise & Nuisance,Property Maintenance,Medium,Resolved,0.19,Website,Code Enforcement,3.4,2024-12,2024Q4,1
RVA-10056,2025-07-18,Ginter Park,Public Safety,Missing Sign,Emergency,Closed,0.1,Mobile App,Transportation,4.0,2025-07,2025Q3,1
RVA-10057,2024-12-05,Bon Air,Road & Sidewalk,Crosswalk Faded,Low,Resolved,14.48,Mobile App,Transportation,4.6,2024-12,2024Q4,1
RVA-10058,2024-04-01,Shockoe Bottom,Parks & Public Spaces,Playground Repair,Medium,Open,2.6,Phone,Police,3.2,2024-04,2024Q2,0
RVA-10059,2025-01-01,Short Pump,Water & Utilities,Storm Drain Blocked,Medium,Closed,10.3,Email,Police,4.4,2025-01,2025Q1,1
RVA-10060,2025-03-30,The Fan,Noise & Nuisance,Property Maintenance,Medium,Closed,3.72,Mobile App,Parks & Rec,3.2,2025-03,2025Q1,1
RVA-10061,2025-03-03,Lakeside,Noise & Nuisance,Abandoned Vehicle,Low,Resolved,0.23,Mobile App,Transportation,3.4,2025-03,2025Q1,1
RVA-10062,2025-05-23,Carytown,Parks & Public Spaces,Graffiti Removal,Medium,Resolved,6.31,Mobile App,Code Enforcement,2.8,2025-05,2025Q2,1
RVA-10063,2024-02-04,Ginter Park,Noise & Nuisance,Noise Complaint,High,Closed,0.23,Website,Code Enforcement,1.6,2024-02,2024Q1,1
RVA-10064,2024-07-24,Carytown,Sanitation,Illegal Dumping,Medium,In Progress,7.79,Website,Public Works,3.2,2024-07,2024Q3,0
RVA-10065,2024-03-21,Short Pump,Parks & Public Spaces,Graffiti Removal,Medium,Resolved,0.92,Mobile App,Public Works,4.9,2024-03,2024Q1,1
RVA-10066,2025-07-15,Short Pump,Water & Utilities,Sewer Problem,Medium,Resolved,2.12,Phone,Parks & Rec,4.1,2025-07,2025Q3,1
RVA-10067,2025-01-22,Bon Air,Parks & Public Spaces,Park Maintenance,Medium,Resolved,7.16,Website,Public Utilities,4.0,2025-01,2025Q1,1
RVA-10068,2024-01-02,East End,Public Safety,Missing Sign,Medium,Closed,15.42,Phone,Code Enforcement,3.6,2024-01,2024Q1,1
RVA-10069,2025-01-24,Scott's Addition,Road & Sidewalk,Pothole Repair,High,Resolved,0.93,Website,Public Works,2.4,2025-01,2025Q1,1
RVA-10070,2025-07-19,Scott's Addition,Sanitation,Bulk Pickup Request,Emergency,Open,0.88,Walk-in,Police,1.7,2025-07,2025Q3,0
RVA-10071,2024-04-15,Carytown,Water & Utilities,Storm Drain Blocked,Medium,Open,1.06,Website,Code Enforcement,1.9,2024-04,2024Q2,0
RVA-10072,2025-04-21,Highland Park,Sanitation,Bulk Pickup Request,Medium,Open,8.23,Website,Code Enforcement,1.0,2025-04,2025Q2,0
RVA-10073,2025-12-03,West End,Noise & Nuisance,Abandoned Vehicle,High,Resolved,2.14,Walk-in,Code Enforcement,3.7,2025-12,2025Q4,1
RVA-10074,2025-02-05,Northside,Parks & Public Spaces,Park Maintenance,Medium,Closed,1.07,Email,Transportation,4.2,2025-02,2025Q1,1
RVA-10075,2025-12-30,The Fan,Public Safety,Unsafe Structure,Medium,Resolved,1.8,Phone,Public Works,2.1,2025-12,2025Q4,1
RVA-10076,2025-07-09,Highland Park,Sanitation,Bulk Pickup Request,Low,Resolved,1.41,Mobile App,Parks & Rec,1.4,2025-07,2025Q3,1
RVA-10077,2024-06-10,Southside,Road & Sidewalk,Pothole Repair,High,Closed,0.97,Walk-in,Public Works,2.3,2024-06,2024Q2,1
RVA-10078,2024-07-20,Bon Air,Noise & Nuisance,Noise Complaint,Medium,Resolved,1.14,Mobile App,Police,2.2,2024-07,2024Q3,1
RVA-10079,2024-09-26,Northside,Parks & Public Spaces,Graffiti Removal,High,Resolved,2.07,Email,Police,2.8,2024-09,2024Q3,1
RVA-10080,2024-09-27,Manchester,Water & Utilities,Sewer Problem,High,Closed,10.41,Mobile App,Public Utilities,2.1,2024-09,2024Q3,1
RVA-10081,2025-03-31,Oregon Hill,Road & Sidewalk,Pothole Repair,Low,Resolved,0.12,Email,Public Works,2.4,2025-03,2025Q1,1
RVA-10082,2025-04-06,Shockoe Bottom,Public Safety,Traffic Signal Issue,High,Resolved,1.56,Phone,Public Works,4.6,2025-04,2025Q2,1
RVA-10083,2025-12-27,West End,Public Safety,Missing Sign,High,Resolved,1.71,Website,Public Utilities,2.3,2025-12,2025Q4,1
RVA-10084,2024-09-08,West End,Water & Utilities,Sewer Problem,Medium,Closed,12.28,Phone,Public Utilities,4.1,2024-09,2024Q3,1
RVA-10085,2025-12-02,Shockoe Bottom,Sanitation,Illegal Dumping,Low,Resolved,7.05,Email,Code Enforcement,3.5,2025-12,2025Q4,1
RVA-10086,2024-10-22,Shockoe Bottom,Road & Sidewalk,Pothole Repair,Low,Resolved,7.85,Mobile App,Code Enforcement,2.4,2024-10,2024Q4,1
RVA-10087,2025-12-25,The Fan,Sanitation,Missed Trash Pickup,Medium,Resolved,3.19,Mobile App,Police,4.3,2025-12,2025Q4,1
RVA-10088,2025-12-20,Bon Air,Road & Sidewalk,Crosswalk Faded,Medium,Open,1.57,Mobile App,Parks & Rec,3.4,2025-12,2025Q4,0
RVA-10089,2024-12-03,Scott's Addition,Water & Utilities,Storm Drain Blocked,Medium,Resolved,0.29,Email,Police,1.0,2024-12,2024Q4,1
RVA-10090,2024-02-22,Manchester,Road & Sidewalk,Street Light Out,Low,Resolved,5.25,Phone,Transportation,1.3,2024-02,2024Q1,1
RVA-10091,2024-08-04,Scott's Addition,Parks & Public Spaces,Graffiti Removal,High,In Progress,0.11,Website,Public Works,4.0,2024-08,2024Q3,0
RVA-10092,2024-07-06,Museum District,Public Safety,Unsafe Structure,Medium,Resolved,4.0,Website,Parks & Rec,2.8,2024-07,2024Q3,1
RVA-10093,2025-01-14,West End,Water & Utilities,Storm Drain Blocked,Low,Open,3.67,Walk-in,Code Enforcement,2.6,2025-01,2025Q1,0
RVA-10094,2025-05-07,Ginter Park,Road & Sidewalk,Pothole Repair,Medium,Resolved,3.81,Website,Public Utilities,1.6,2025-05,2025Q2,1
RVA-10095,2024-02-10,Shockoe Bottom,Sanitation,Missed Trash Pickup,Medium,In Progress,0.72,Phone,Public Utilities,1.6,2024-02,2024Q1,0
RVA-10096,2024-06-05,West End,Water & Utilities,Sewer Problem,Low,Open,26.98,Website,Police,4.2,2024-06,2024Q2,0
RVA-10097,2024-01-15,Oregon Hill,Water & Utilities,Water Main Break,Medium,Closed,11.25,Website,Public Works,4.3,2024-01,2024Q1,1
RVA-10098,2024-03-05,Bon Air,Noise & Nuisance,Property Maintenance,Low,Closed,2.11,Mobile App,Public Works,3.2,2024-03,2024Q1,1
RVA-10099,2025-06-04,Manchester,Noise & Nuisance,Animal Control,High,Resolved,0.84,Mobile App,Public Utilities,2.2,2025-06,2025Q2,1
RVA-10100,2024-12-09,The Fan,Road & Sidewalk,Sidewalk Damage,High,Resolved,1.9,Mobile App,Police,4.7,2024-12,2024Q4,1
RVA-10101,2024-05-08,Short Pump,Water & Utilities,Sewer Problem,Medium,Resolved,0.5,Phone,Transportation,3.5,2024-05,2024Q2,1
RVA-10102,2025-10-09,Shockoe Bottom,Water & Utilities,Sewer Problem,High,Resolved,0.88,Phone,Police,4.2,2025-10,2025Q4,1
RVA-10103,2025-04-16,The Fan,Noise & Nuisance,Abandoned Vehicle,High,Resolved,0.58,Website,Code Enforcement,1.0,2025-04,2025Q2,1
RVA-10104,2024-03-03,West End,Public Safety,Hazardous Condition,Low,Resolved,24.71,Email,Code Enforcement,2.8,2024-03,2024Q1,1
RVA-10105,2024-05-18,West End,Public Safety,Unsafe Structure,Emergency,Closed,0.96,Mobile App,Code Enforcement,4.5,2024-05,2024Q2,1
RVA-10106,2025-05-13,Museum District,Noise & Nuisance,Abandoned Vehicle,High,In Progress,1.73,Website,Transportation,2.4,2025-05,2025Q2,0
RVA-10107,2025-08-15,East End,Road & Sidewalk,Sidewalk Damage,Low,Open,7.35,Phone,Parks & Rec,3.9,2025-08,2025Q3,0
RVA-10108,2025-01-26,Short Pump,Parks & Public Spaces,Park Maintenance,Low,Closed,26.7,Mobile App,Police,3.6,2025-01,2025Q1,1
RVA-10109,2025-11-05,Southside,Parks & Public Spaces,Tree Hazard,Low,Closed,26.95,Website,Police,1.6,2025-11,2025Q4,1
RVA-10110,2025-02-22,Northside,Sanitation,Illegal Dumping,Low,Resolved,34.84,Email,Transportation,4.1,2025-02,2025Q1,1
RVA-10111,2024-10-15,East End,Sanitation,Missed Trash Pickup,High,Resolved,0.27,Mobile App,Code Enforcement,1.5,2024-10,2024Q4,1
RVA-10112,2025-01-13,Shockoe Bottom,Sanitation,Missed Trash Pickup,Medium,Resolved,0.88,Phone,Public Utilities,3.9,2025-01,2025Q1,1
RVA-10113,2025-05-04,Scott's Addition,Noise & Nuisance,Animal Control,High,Resolved,2.26,Mobile App,Code Enforcement,5.0,2025-05,2025Q2,1
RVA-10114,2024-08-18,Museum District,Noise & Nuisance,Property Maintenance,High,Resolved,1.56,Mobile App,Parks & Rec,4.8,2024-08,2024Q3,1
RVA-10115,2024-02-10,Museum District,Noise & Nuisance,Animal Control,Medium,Resolved,0.09,Website,Transportation,4.2,2024-02,2024Q1,1
RVA-10116,2024-01-28,Highland Park,Parks & Public Spaces,Playground Repair,High,Resolved,0.13,Walk-in,Public Utilities,3.1,2024-01,2024Q1,1
RVA-10117,2024-05-14,Oregon Hill,Noise & Nuisance,Noise Complaint,Low,Closed,21.9,Website,Police,3.7,2024-05,2024Q2,1
RVA-10118,2024-07-19,Shockoe Bottom,Public Safety,Hazardous Condition,Medium,Closed,10.16,Phone,Parks & Rec,3.9,2024-07,2024Q3,1
RVA-10119,2024-02-02,Scott's Addition,Parks & Public Spaces,Playground Repair,Medium,Resolved,2.21,Email,Parks & Rec,1.0,2024-02,2024Q1,1
RVA-10120,2024-02-17,Scott's Addition,Sanitation,Bulk Pickup Request,Low,Resolved,22.17,Mobile App,Transportation,1.4,2024-02,2024Q1,1
RVA-10121,2025-05-17,West End,Sanitation,Bulk Pickup Request,Low,Resolved,9.01,Website,Public Utilities,3.4,2025-05,2025Q2,1
RVA-10122,2025-02-10,Museum District,Sanitation,Overflowing Bin,High,Resolved,3.28,Phone,Code Enforcement,1.0,2025-02,2025Q1,1
RVA-10123,2025-07-27,West End,Parks & Public Spaces,Tree Hazard,High,Resolved,1.12,Walk-in,Code Enforcement,4.6,2025-07,2025Q3,1
RVA-10124,2025-12-28,Museum District,Sanitation,Bulk Pickup Request,Medium,Closed,0.6,Website,Public Works,3.0,2025-12,2025Q4,1
RVA-10125,2024-04-08,Fulton,Road & Sidewalk,Street Light Out,High,Closed,1.14,Email,Public Utilities,2.0,2024-04,2024Q2,1
RVA-10126,2025-11-14,Bon Air,Road & Sidewalk,Crosswalk Faded,High,Closed,1.22,Mobile App,Code Enforcement,2.6,2025-11,2025Q4,1
RVA-10127,2025-12-26,East End,Parks & Public Spaces,Graffiti Removal,Medium,Closed,4.0,Website,Parks & Rec,4.4,2025-12,2025Q4,1
RVA-10128,2025-06-30,Ginter Park,Sanitation,Overflowing Bin,Low,Closed,1.12,Website,Transportation,4.7,2025-06,2025Q2,1
RVA-10129,2025-09-04,Lakeside,Noise & Nuisance,Abandoned Vehicle,Emergency,Resolved,2.38,Website,Code Enforcement,1.5,2025-09,2025Q3,1
RVA-10130,2025-04-06,Bon Air,Parks & Public Spaces,Graffiti Removal,Medium,Closed,1.4,Phone,Transportation,4.1,2025-04,2025Q2,1
RVA-10131,2025-10-04,Ginter Park,Parks & Public Spaces,Playground Repair,Low,In Progress,2.21,Mobile App,Code Enforcement,3.3,2025-10,2025Q4,0
RVA-10132,2024-01-05,Bon Air,Sanitation,Illegal Dumping,Medium,Open,3.74,Mobile App,Transportation,3.3,2024-01,2024Q1,0
RVA-10133,2024-08-05,Southside,Road & Sidewalk,Street Light Out,High,Resolved,1.54,Mobile App,Parks & Rec,4.1,2024-08,2024Q3,1
RVA-10134,2025-05-17,Highland Park,Noise & Nuisance,Animal Control,Low,Closed,5.79,Walk-in,Public Utilities,1.9,2025-05,2025Q2,1
RVA-10135,2025-02-01,Short Pump,Parks & Public Spaces,Graffiti Removal,Medium,Resolved,7.39,Walk-in,Public Works,3.1,2025-02,2025Q1,1
RVA-10136,2025-01-27,Scott's Addition,Public Safety,Hazardous Condition,Low,Resolved,7.27,Mobile App,Transportation,2.3,2025-01,2025Q1,1
RVA-10137,2024-07-25,Oregon Hill,Public Safety,Traffic Signal Issue,Emergency,Resolved,0.47,Email,Code Enforcement,1.4,2024-07,2024Q3,1
RVA-10138,2024-01-15,Bon Air,Noise & Nuisance,Abandoned Vehicle,Low,Resolved,12.86,Mobile App,Transportation,1.4,2024-01,2024Q1,1
RVA-10139,2025-07-07,The Fan,Public Safety,Traffic Signal Issue,Medium,Resolved,0.13,Phone,Transportation,1.5,2025-07,2025Q3,1
RVA-10140,2025-04-05,Northside,Public Safety,Missing Sign,Emergency,Closed,0.42,Mobile App,Code Enforcement,3.5,2025-04,2025Q2,1
RVA-10141,2025-11-21,Oregon Hill,Road & Sidewalk,Crosswalk Faded,Low,Closed,21.56,Walk-in,Code Enforcement,1.4,2025-11,2025Q4,1
RVA-10142,2025-07-28,Oregon Hill,Road & Sidewalk,Sidewalk Damage,Emergency,Closed,0.01,Website,Public Utilities,3.3,2025-07,2025Q3,1
RVA-10143,2024-08-28,Fulton,Road & Sidewalk,Sidewalk Damage,Emergency,Resolved,0.26,Phone,Parks & Rec,3.4,2024-08,2024Q3,1
RVA-10144,2025-07-17,Ginter Park,Noise & Nuisance,Abandoned Vehicle,High,Resolved,5.21,Website,Parks & Rec,4.6,2025-07,2025Q3,1
RVA-10145,2024-04-05,Northside,Public Safety,Traffic Signal Issue,Low,Resolved,4.36,Mobile App,Parks & Rec,3.5,2024-04,2024Q2,1
RVA-10146,2025-04-29,Scott's Addition,Water & Utilities,Water Main Break,Medium,Resolved,3.07,Phone,Parks & Rec,4.9,2025-04,2025Q2,1
RVA-10147,2025-02-10,Museum District,Water & Utilities,Water Main Break,High,In Progress,7.98,Phone,Parks & Rec,1.1,2025-02,2025Q1,0
RVA-10148,2024-08-18,Museum District,Sanitation,Missed Trash Pickup,Emergency,Closed,0.11,Mobile App,Parks & Rec,3.8,2024-08,2024Q3,1
RVA-10149,2025-10-16,Oregon Hill,Water & Utilities,Hydrant Issue,Low,Resolved,0.67,Walk-in,Code Enforcement,1.1,2025-10,2025Q4,1
RVA-10150,2024-06-19,Carytown,Public Safety,Missing Sign,High,Closed,3.92,Website,Code Enforcement,3.9,2024-06,2024Q2,1
RVA-10151,2025-06-24,Short Pump,Sanitation,Missed Trash Pickup,Medium,Closed,10.14,Mobile App,Parks & Rec,2.5,2025-06,2025Q2,1
RVA-10152,2024-02-05,Manchester,Sanitation,Missed Trash Pickup,Low,Open,6.39,Mobile App,Parks & Rec,3.4,2024-02,2024Q1,0
RVA-10153,2025-06-08,East End,Noise & Nuisance,Abandoned Vehicle,Medium,Closed,3.61,Mobile App,Public Utilities,2.2,2025-06,2025Q2,1
RVA-10154,2024-06-08,Manchester,Parks & Public Spaces,Graffiti Removal,High,Closed,3.61,Mobile App,Transportation,1.6,2024-06,2024Q2,1
RVA-10155,2025-11-29,Museum District,Sanitation,Illegal Dumping,Medium,Resolved,6.71,Phone,Public Utilities,3.9,2025-11,2025Q4,1
RVA-10156,2024-08-30,The Fan,Road & Sidewalk,Pothole Repair,Medium,Resolved,1.54,Mobile App,Police,4.6,2024-08,2024Q3,1
RVA-10157,2024-03-26,Bon Air,Noise & Nuisance,Animal Control,Emergency,Resolved,0.01,Website,Code Enforcement,1.7,2024-03,2024Q1,1
RVA-10158,2025-07-31,Lakeside,Road & Sidewalk,Sidewalk Damage,Medium,Resolved,3.27,Phone,Parks & Rec,4.7,2025-07,2025Q3,1
RVA-10159,2025-11-12,The Fan,Sanitation,Bulk Pickup Request,Medium,Resolved,9.79,Mobile App,Transportation,1.6,2025-11,2025Q4,1
RVA-10160,2025-07-10,Short Pump,Public Safety,Hazardous Condition,Medium,In Progress,11.31,Email,Code Enforcement,3.9,2025-07,2025Q3,0
RVA-10161,2025-07-27,Ginter Park,Water & Utilities,Storm Drain Blocked,Medium,Resolved,15.64,Mobile App,Police,4.8,2025-07,2025Q3,1
RVA-10162,2025-10-07,Highland Park,Water & Utilities,Hydrant Issue,High,Resolved,4.23,Phone,Public Utilities,1.6,2025-10,2025Q4,1
RVA-10163,2024-01-28,West End,Road & Sidewalk,Sidewalk Damage,Emergency,Open,0.43,Phone,Police,2.7,2024-01,2024Q1,0
RVA-10164,2025-09-11,Church Hill,Road & Sidewalk,Street Light Out,Medium,Resolved,2.94,Mobile App,Public Works,2.3,2025-09,2025Q3,1
RVA-10165,2025-07-09,East End,Noise & Nuisance,Animal Control,High,Resolved,2.98,Mobile App,Public Utilities,2.6,2025-07,2025Q3,1
RVA-10166,2024-12-05,Highland Park,Noise & Nuisance,Noise Complaint,Low,Resolved,13.46,Mobile App,Code Enforcement,4.0,2024-12,2024Q4,1
RVA-10167,2024-11-26,Northside,Road & Sidewalk,Pothole Repair,Low,Open,7.73,Walk-in,Public Utilities,3.6,2024-11,2024Q4,0
RVA-10168,2025-10-01,Bon Air,Parks & Public Spaces,Park Maintenance,Medium,Closed,0.46,Website,Police,4.9,2025-10,2025Q4,1
RVA-10169,2025-05-20,Scott's Addition,Parks & Public Spaces,Graffiti Removal,Low,Resolved,26.05,Website,Parks & Rec,1.7,2025-05,2025Q2,1
RVA-10170,2024-12-13,Scott's Addition,Sanitation,Missed Trash Pickup,Medium,In Progress,3.04,Phone,Transportation,3.2,2024-12,2024Q4,0
RVA-10171,2025-04-17,Ginter Park,Water & Utilities,Sewer Problem,Medium,Resolved,2.26,Phone,Police,2.8,2025-04,2025Q2,1
RVA-10172,2024-08-18,Southside,Noise & Nuisance,Noise Complaint,Low,Resolved,9.93,Mobile App,Police,4.7,2024-08,2024Q3,1
RVA-10173,2024-07-08,The Fan,Public Safety,Missing Sign,Medium,Open,5.6,Mobile App,Parks & Rec,1.0,2024-07,2024Q3,0
RVA-10174,2024-08-12,Oregon Hill,Parks & Public Spaces,Tree Hazard,Medium,Resolved,1.18,Mobile App,Transportation,5.0,2024-08,2024Q3,1
RVA-10175,2025-01-19,Ginter Park,Road & Sidewalk,Sidewalk Damage,Medium,Closed,9.07,Phone,Code Enforcement,2.9,2025-01,2025Q1,1
RVA-10176,2025-01-11,The Fan,Public Safety,Traffic Signal Issue,Emergency,Closed,0.17,Mobile App,Transportation,3.5,2025-01,2025Q1,1
RVA-10177,2024-10-09,The Fan,Sanitation,Illegal Dumping,Medium,Resolved,1.03,Mobile App,Code Enforcement,2.4,2024-10,2024Q4,1
RVA-10178,2025-09-24,Scott's Addition,Road & Sidewalk,Street Light Out,Medium,Closed,2.61,Mobile App,Public Utilities,4.4,2025-09,2025Q3,1
RVA-10179,2025-09-19,Bon Air,Road & Sidewalk,Sidewalk Damage,Emergency,Resolved,0.66,Phone,Police,3.2,2025-09,2025Q3,1
